Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly BioSample Accession	CheckM completeness	CheckM contamination
GCA_029204245.1	ASM2920424v1	Xanthomonas oryzae pv. oryzae		CIX4509					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-03-14		1							Oxford Nanopore + Illumina NextSeq	SAMN29872139	94.88	0.54
GCF_029204245.1	ASM2920424v1	Xanthomonas oryzae pv. oryzae		CIX4509					GCF_029204245.1-RS_2024_05_12	Complete Genome	2023-03-14		1							Oxford Nanopore + Illumina NextSeq	SAMN29872139	94.88	0.54
GCA_029204265.1	ASM2920426v1	Xanthomonas oryzae pv. oryzae		CIX4506					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-03-14		1							Oxford Nanopore + Illumina NextSeq	SAMN29872138	95.35	0.54
GCF_029204265.1	ASM2920426v1	Xanthomonas oryzae pv. oryzae		CIX4506					GCF_029204265.1-RS_2024_05_06	Complete Genome	2023-03-14		1							Oxford Nanopore + Illumina NextSeq	SAMN29872138	95.35	0.54
GCA_001929245.2	ASM192924v2	Xanthomonas oryzae pv. oryzae		IXO1104					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252587	94.9	0.54
GCF_001929245.2	ASM192924v2	Xanthomonas oryzae pv. oryzae		IXO1104					GCF_001929245.2-RS_2024_05_12	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252587	94.9	0.54
GCA_001929235.2	ASM192923v2	Xanthomonas oryzae pv. oryzae		IXO1088					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-06		1							Illumina MiSeq; Oxford Nanopore MiniION	SAMN03252586	94.6	0.54
GCF_001929235.2	ASM192923v2	Xanthomonas oryzae pv. oryzae		IXO1088					GCF_001929235.2-RS_2024_05_06	Complete Genome	2020-03-06		1							Illumina MiSeq; Oxford Nanopore MiniION	SAMN03252586	94.6	0.54
GCA_001929085.2	ASM192908v2	Xanthomonas oryzae pv. oryzae		IXO685					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252549	94.67	0.54
GCF_001929085.2	ASM192908v2	Xanthomonas oryzae pv. oryzae		IXO685					GCF_001929085.2-RS_2024_05_12	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252549	94.67	0.54
GCA_001928825.2	ASM192882v2	Xanthomonas oryzae pv. oryzae		IXO493					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252574	94.79	0.8
GCF_001928825.2	ASM192882v2	Xanthomonas oryzae pv. oryzae		IXO493					GCF_001928825.2-RS_2024_05_12	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252574	94.79	0.8
GCA_001928985.2	ASM192898v2	Xanthomonas oryzae pv. oryzae		IXO630					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252567	94.79	0.8
GCF_001928985.2	ASM192898v2	Xanthomonas oryzae pv. oryzae		IXO630					GCF_001928985.2-RS_2024_05_12	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252567	94.79	0.8
GCA_001928695.2	ASM192869v2	Xanthomonas oryzae pv. oryzae		IXO365					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252576	94.79	0.8
GCF_001928695.2	ASM192869v2	Xanthomonas oryzae pv. oryzae		IXO365					GCF_001928695.2-RS_2024_05_06	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252576	94.79	0.8
GCA_001929065.2	ASM192906v2	Xanthomonas oryzae pv. oryzae		IXO651					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252552	94.86	0.54
GCF_001929065.2	ASM192906v2	Xanthomonas oryzae pv. oryzae		IXO651					GCF_001929065.2-RS_2024_05_06	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252552	94.86	0.54
GCA_001928525.2	ASM192852v2	Xanthomonas oryzae pv. oryzae		DXO-233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-14		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252541	94.85	0.64
GCF_001928525.2	ASM192852v2	Xanthomonas oryzae pv. oryzae		DXO-233					GCF_001928525.2-RS_2024_08_16	Complete Genome	2022-11-14		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252541	94.85	0.64
GCA_004355825.1	ASM435582v1	Xanthomonas oryzae pv. oryzae		NX0260					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio	SAMN10261817	94.72	0.54
GCF_004355825.1	ASM435582v1	Xanthomonas oryzae pv. oryzae		NX0260					GCF_004355825.1-RS_2024_05_12	Complete Genome	2019-03-19		1							PacBio	SAMN10261817	94.72	0.54
GCA_001746615.1	ASM174661v1	Xanthomonas oryzae pv. oryzae		PXO145					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306146	93.63	0.63
GCF_001746615.1	ASM174661v1	Xanthomonas oryzae pv. oryzae		PXO145					GCF_001746615.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306146	93.63	0.63
GCA_001929155.2	ASM192915v2	Xanthomonas oryzae pv. oryzae		IXO792					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252572	95.05	0.8
GCF_001929155.2	ASM192915v2	Xanthomonas oryzae pv. oryzae		IXO792					GCF_001929155.2-RS_2024_05_06	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252572	95.05	0.8
GCA_004355865.1	ASM435586v1	Xanthomonas oryzae pv. oryzae		CIAT					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		2							PacBio	SAMN10261812	94.69	0.78
GCF_004355865.1	ASM435586v1	Xanthomonas oryzae pv. oryzae		CIAT					GCF_004355865.1-RS_2024_08_07	Complete Genome	2019-03-19		2							PacBio	SAMN10261812	94.69	0.78
GCA_001746635.1	ASM174663v1	Xanthomonas oryzae pv. oryzae		PXO211					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306147	94.58	0.5
GCF_001746635.1	ASM174663v1	Xanthomonas oryzae pv. oryzae		PXO211					GCF_001746635.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306147	94.58	0.5
GCA_003382895.1	ASM338289v1	Xanthomonas oryzae pv. oryzae		PX079					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953163	95.46	0.34
GCF_003382895.1	ASM338289v1	Xanthomonas oryzae pv. oryzae		PX079					GCF_003382895.1-RS_2024_04_05	Complete Genome	2018-08-14		1							PacBio	SAMN05953163	95.46	0.34
GCA_001518895.1	ASM151889v1	Xanthomonas oryzae pv. oryzae		PXO83					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-01-20		1							PacBio	SAMN04161335	94.43	0.54
GCF_001518895.1	ASM151889v1	Xanthomonas oryzae pv. oryzae		PXO83					GCF_001518895.1-RS_2024_05_05	Complete Genome	2016-01-20		1							PacBio	SAMN04161335	94.43	0.54
GCA_001928095.2	ASM192809v2	Xanthomonas oryzae pv. oryzae		IXO134					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252562	95	0.3
GCF_001928095.2	ASM192809v2	Xanthomonas oryzae pv. oryzae		IXO134					GCF_001928095.2-RS_2024_05_06	Complete Genome	2022-10-12		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252562	95	0.3
GCA_003382915.1	ASM338291v1	Xanthomonas oryzae pv. oryzae		PX086					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							Illumina HiSeq	SAMN05953164	94.48	0.54
GCF_003382915.1	ASM338291v1	Xanthomonas oryzae pv. oryzae		PX086					GCF_003382915.1-RS_2024_04_08	Complete Genome	2018-08-14		1							Illumina HiSeq	SAMN05953164	94.48	0.54
GCA_001927855.2	ASM192785v2	Xanthomonas oryzae pv. oryzae		DXO-174					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-14		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252524	94.76	0.64
GCF_001927855.2	ASM192785v2	Xanthomonas oryzae pv. oryzae		DXO-174					GCF_001927855.2-RS_2024_08_16	Complete Genome	2022-11-14		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252524	94.76	0.64
GCA_004355765.2	ASM435576v2	Xanthomonas oryzae pv. oryzae		JW11089					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-26		1							PacBio	SAMN10261813	95.12	0.5
GCF_004355765.2	ASM435576v2	Xanthomonas oryzae pv. oryzae		JW11089					GCF_004355765.2-RS_2024_05_06	Complete Genome	2019-07-26		1							PacBio	SAMN10261813	95.12	0.5
GCA_003122405.1	ASM312240v1	Xanthomonas oryzae pv. oryzae		PXO61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-05-14		1							Illumina	SAMN06695275	94.85	0.71
GCF_003122405.1	ASM312240v1	Xanthomonas oryzae pv. oryzae		PXO61					GCF_003122405.1-RS_2024_05_06	Complete Genome	2018-05-14		1							Illumina	SAMN06695275	94.85	0.71
GCA_040202795.2	ASM4020279v2	Xanthomonas oryzae pv. oryzae		WHRI 5233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-08-28		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354541	95.39	0.34
GCF_040202795.2	ASM4020279v2	Xanthomonas oryzae pv. oryzae		WHRI 5233					GCF_040202795.2-RS_2024_08_29	Complete Genome	2024-08-29		1							Illumina NovaSeq; Oxford Nanopore PromethION	SAMN40354541	95.39	0.34
GCA_001929165.2	ASM192916v2	Xanthomonas oryzae pv. oryzae		IXO842					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252583	94.49	0.8
GCF_001929165.2	ASM192916v2	Xanthomonas oryzae pv. oryzae		IXO842					GCF_001929165.2-RS_2024_05_12	Complete Genome	2022-10-12		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252583	94.49	0.8
GCA_001929095.2	ASM192909v2	Xanthomonas oryzae pv. oryzae		IXO704					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-06		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252585	95.08	0.8
GCF_001929095.2	ASM192909v2	Xanthomonas oryzae pv. oryzae		IXO704					GCF_001929095.2-RS_2024_05_06	Complete Genome	2020-03-06		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252585	95.08	0.8
GCA_003351845.1	ASM335184v1	Xanthomonas oryzae pv. oryzae		PXO61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-01		1							Illumina	SAMN07178576	94.13	0.67
GCF_003351845.1	ASM335184v1	Xanthomonas oryzae pv. oryzae		PXO61					GCF_003351845.1-RS_2024_04_08	Complete Genome	2018-08-01		1							Illumina	SAMN07178576	94.13	0.67
GCA_001927405.2	ASM192740v2	Xanthomonas oryzae pv. oryzae		BXO1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-29		3							Illumina MiSeq; Oxford Nanopore MiniION	SAMN03252489	94.89	0.55
GCF_001927405.2	ASM192740v2	Xanthomonas oryzae pv. oryzae		BXO1					GCF_001927405.2-RS_2024_08_07	Complete Genome	2019-08-29		3							Illumina MiSeq; Oxford Nanopore MiniION	SAMN03252489	94.89	0.55
GCA_001928165.2	ASM192816v2	Xanthomonas oryzae pv. oryzae		IXO220					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252563	95.29	0.21
GCF_001928165.2	ASM192816v2	Xanthomonas oryzae pv. oryzae		IXO220					GCF_001928165.2-RS_2024_05_12	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252563	95.29	0.21
GCA_029542325.1	ASM2954232v1	Xanthomonas oryzae pv. oryzae		NE-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-04-03		2							PacBio	SAMN32623252	95.56	0.21
GCF_029542325.1	ASM2954232v1	Xanthomonas oryzae pv. oryzae		NE-8					GCF_029542325.1-RS_2024_05_06	Complete Genome	2023-04-03		2							PacBio	SAMN32623252	95.56	0.21
GCA_001927725.2	ASM192772v2	Xanthomonas oryzae pv. oryzae		DXO-50					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-19		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252537	95.27	0.17
GCF_001927725.2	ASM192772v2	Xanthomonas oryzae pv. oryzae		DXO-50					GCF_001927725.2-RS_2024_05_12	Complete Genome	2023-07-19		2							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252537	95.27	0.17
GCF_011604745.1	ASM1160474v1	Xanthomonas oryzae pv. oryzae		K2					GCF_011604745.1-RS_2024_05_06	Complete Genome	2020-03-22		1							Illumina	SAMN14361487	95.22	0.21
GCA_001929075.2	ASM192907v2	Xanthomonas oryzae pv. oryzae		IXO675					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252546	95.07	0.54
GCF_001929075.2	ASM192907v2	Xanthomonas oryzae pv. oryzae		IXO675					GCF_001929075.2-RS_2024_05_12	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252546	95.07	0.54
GCA_004136395.1	ASM413639v1	Xanthomonas oryzae pv. oryzae		PXO142					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-02-04		1							PacBio RSII	SAMN09791863	94.58	0.27
GCF_004136395.1	ASM413639v1	Xanthomonas oryzae pv. oryzae		PXO142					GCF_004136395.1-RS_2024_05_06	Complete Genome	2019-02-04		1							PacBio RSII	SAMN09791863	94.58	0.27
GCA_011045315.1	ASM1104531v1	Xanthomonas oryzae pv. oryzae		K1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-03-02		1							Illumina	SAMN14167900	95.22	0.21
GCF_011045315.1	ASM1104531v1	Xanthomonas oryzae pv. oryzae		K1					GCF_011045315.1-RS_2024_05_06	Complete Genome	2020-03-02		1							Illumina	SAMN14167900	95.22	0.21
GCA_003351825.1	ASM335182v1	Xanthomonas oryzae pv. oryzae		PXO61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-01		1							Illumina	SAMN07178577	94.4	0.2
GCF_003351825.1	ASM335182v1	Xanthomonas oryzae pv. oryzae		PXO61					GCF_003351825.1-RS_2024_05_06	Complete Genome	2018-08-01		1							Illumina	SAMN07178577	94.4	0.2
GCA_001929005.2	ASM192900v2	Xanthomonas oryzae pv. oryzae		IXO645					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-14		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252584	95.04	0.28
GCF_001929005.2	ASM192900v2	Xanthomonas oryzae pv. oryzae		IXO645					GCF_001929005.2-RS_2024_08_16	Complete Genome	2022-11-14		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252584	95.04	0.28
GCF_018288775.1	ASM1828877v1	Xanthomonas oryzae pv. oryzae		DY89031(J18)					GCF_018288775.1-RS_2024_05_06	Complete Genome	2021-05-06		1							PacBio RSII	SAMN16744833	94.39	0.21
GCA_001929015.2	ASM192901v2	Xanthomonas oryzae pv. oryzae		IXO644					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252565	95	0.28
GCF_001929015.2	ASM192901v2	Xanthomonas oryzae pv. oryzae		IXO644					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252565	95	0.28
GCF_017577225.1	ASM1757722v1	Xanthomonas oryzae pv. oryzae		T7133					GCF_017577225.1-RS_2024_05_06	Complete Genome	2021-03-24		1							PacBio RSII	SAMN18324990	95.88	0.24
GCA_024499285.1	ASM2449928v1	Xanthomonas oryzae pv. oryzae		YNCX					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-01		7							PacBio RSII; Illumina HiSeq	SAMN29911672	95.6	0.25
GCF_024499285.1	ASM2449928v1	Xanthomonas oryzae pv. oryzae		YNCX					GCF_024499285.1-RS_2024_05_06	Complete Genome	2022-08-01		7							PacBio RSII; Illumina HiSeq	SAMN29911672	95.6	0.25
GCA_004355845.1	ASM435584v1	Xanthomonas oryzae pv. oryzae		KXO85					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio	SAMN10261815	94.37	0.21
GCF_004355845.1	ASM435584v1	Xanthomonas oryzae pv. oryzae		KXO85					GCF_004355845.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio	SAMN10261815	94.37	0.21
GCA_001746655.1	ASM174665v1	Xanthomonas oryzae pv. oryzae		PXO236					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306148	94.75	0.25
GCF_001746655.1	ASM174665v1	Xanthomonas oryzae pv. oryzae		PXO236					GCF_001746655.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306148	94.75	0.25
GCA_004355885.3	ASM435588v3	Xanthomonas oryzae pv. oryzae		PXO61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-29		1							PacBio	SAMN10261824	95.46	0.23
GCF_004355885.3	ASM435588v3	Xanthomonas oryzae pv. oryzae		PXO61					GCF_004355885.3-RS_2024_05_12	Complete Genome	2019-05-29		1							PacBio	SAMN10261824	95.46	0.23
GCA_002023005.1	ASM202300v1	Xanthomonas oryzae pv. oryzae		XF89b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-03-02		1							454; Illumina; Sanger dideoxy sequencing	SAMN03729481	95.29	0.8
GCF_002023005.1	ASM202300v1	Xanthomonas oryzae pv. oryzae		XF89b					GCF_002023005.1-RS_2024_05_05	Complete Genome	2017-03-02		1							454; Illumina; Sanger dideoxy sequencing	SAMN03729481	95.29	0.8
GCA_020790135.1	ASM2079013v1	Xanthomonas oryzae pv. oryzae		GXO2006					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-08		1							PacBio Sequel	SAMN22630272	95.65	0.21
GCF_020790135.1	ASM2079013v1	Xanthomonas oryzae pv. oryzae		GXO2006					GCF_020790135.1-RS_2024_05_06	Complete Genome	2021-11-08		1							PacBio Sequel	SAMN22630272	95.65	0.21
GCA_003427055.1	ASM342705v1	Xanthomonas oryzae pv. oryzae		IX-280					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-24		2							PacBio	SAMN05717683	95.27	0.58
GCF_003427055.1	ASM342705v1	Xanthomonas oryzae pv. oryzae		IX-280					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-24		2							PacBio	SAMN05717683	95.27	0.58
GCA_020866785.1	ASM2086678v1	Xanthomonas oryzae pv. oryzae		GXO2001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-15		1							PacBio Sequel	SAMN22870819	95.76	0.21
GCF_020866785.1	ASM2086678v1	Xanthomonas oryzae pv. oryzae		GXO2001					GCF_020866785.1-RS_2024_05_06	Complete Genome	2021-11-15		1							PacBio Sequel	SAMN22870819	95.76	0.21
GCA_001746675.1	ASM174667v1	Xanthomonas oryzae pv. oryzae		PXO282					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306149	94.02	0.21
GCF_001746675.1	ASM174667v1	Xanthomonas oryzae pv. oryzae		PXO282					GCF_001746675.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306149	94.02	0.21
GCA_027257035.1	ASM2725703v1	Xanthomonas oryzae pv. oryzae		LA20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-23		1							PacBio Sequel; Illumina NovaSeq	SAMN32303221	94.91	0.21
GCF_027257035.1	ASM2725703v1	Xanthomonas oryzae pv. oryzae		LA20					GCF_027257035.1-RS_2024_05_06	Complete Genome	2022-12-23		1							PacBio Sequel; Illumina NovaSeq	SAMN32303221	94.91	0.21
GCA_004355785.1	ASM435578v1	Xanthomonas oryzae pv. oryzae		AUST2013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-03-19		1							PacBio	SAMN10261811	93.97	0.31
GCF_004355785.1	ASM435578v1	Xanthomonas oryzae pv. oryzae		AUST2013					GCF_004355785.1-RS_2024_05_06	Complete Genome	2019-03-19		1							PacBio	SAMN10261811	93.97	0.31
GCA_001746695.1	ASM174669v1	Xanthomonas oryzae pv. oryzae		PXO524					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306150	95.07	0.24
GCF_001746695.1	ASM174669v1	Xanthomonas oryzae pv. oryzae		PXO524					GCF_001746695.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306150	95.07	0.24
GCA_001746735.1	ASM174673v1	Xanthomonas oryzae pv. oryzae		PXO602					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306152	95.06	0.21
GCF_001746735.1	ASM174673v1	Xanthomonas oryzae pv. oryzae		PXO602					GCF_001746735.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306152	95.06	0.21
GCA_003382855.1	ASM338285v1	Xanthomonas oryzae pv. oryzae		JP01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-08-14		1							PacBio	SAMN05953100	95.61	0.21
GCF_003382855.1	ASM338285v1	Xanthomonas oryzae pv. oryzae		JP01					GCF_003382855.1-RS_2024_04_05	Complete Genome	2018-08-14		1							PacBio	SAMN05953100	95.61	0.21
GCA_001928995.2	ASM192899v2	Xanthomonas oryzae pv. oryzae		IXO639					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252553	95.29	0.21
GCF_001928995.2	ASM192899v2	Xanthomonas oryzae pv. oryzae		IXO639					GCF_001928995.2-RS_2024_05_06	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252553	95.29	0.21
GCF_011604765.1	ASM1160476v1	Xanthomonas oryzae pv. oryzae		K3					GCF_011604765.1-RS_2024_05_06	Complete Genome	2020-03-22		1							Illumina	SAMN14362543	95.61	0.21
GCA_025264145.1	ASM2526414v1	Xanthomonas oryzae pv. oryzae		IX-221					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19		1							PacBio	SAMN05717678	94.87	0.21
GCF_025264145.1	ASM2526414v1	Xanthomonas oryzae pv. oryzae		IX-221					GCF_025264145.1-RS_2024_05_12	Complete Genome	2022-09-19		1							PacBio	SAMN05717678	94.87	0.21
GCA_001928585.2	ASM192858v2	Xanthomonas oryzae pv. oryzae		IXO35					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		3							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252558	95.24	0.25
GCF_001928585.2	ASM192858v2	Xanthomonas oryzae pv. oryzae		IXO35					GCF_001928585.2-RS_2024_05_12	Complete Genome	2022-10-12		3							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252558	95.24	0.25
GCA_001928175.2	ASM192817v2	Xanthomonas oryzae pv. oryzae		IXO221					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252543	95.1	0.21
GCF_001928175.2	ASM192817v2	Xanthomonas oryzae pv. oryzae		IXO221					GCF_001928175.2-RS_2024_05_06	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252543	95.1	0.21
GCA_039555255.1	PkXoo2_homopolish	Xanthomonas oryzae pv. oryzae		PkXoo2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-05-07		1							Oxford Nanopore	SAMN37852903	94.8	0.21
GCF_039555255.1	PkXoo2_homopolish	Xanthomonas oryzae pv. oryzae		PkXoo2					GCF_039555255.1-RS_2024_05_08	Complete Genome	2024-05-09		1							Oxford Nanopore	SAMN37852903	94.8	0.21
GCA_001928835.2	ASM192883v2	Xanthomonas oryzae pv. oryzae		IXO597					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252570	94.87	0.21
GCF_001928835.2	ASM192883v2	Xanthomonas oryzae pv. oryzae		IXO597					GCF_001928835.2-RS_2024_05_06	Complete Genome	2022-10-12		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252570	94.87	0.21
GCA_001928035.2	ASM192803v2	Xanthomonas oryzae pv. oryzae		IXO98					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252559	95.13	0.21
GCF_001928035.2	ASM192803v2	Xanthomonas oryzae pv. oryzae		IXO98					GCF_001928035.2-RS_2024_05_12	Complete Genome	2022-10-11		1							Oxford Nanopore MiniION; Illumina MiSeq	SAMN03252559	95.13	0.21
GCA_001746715.1	ASM174671v1	Xanthomonas oryzae pv. oryzae		PXO563					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-26		1							PacBio	SAMN04306151	95.55	0.31
GCF_001746715.1	ASM174671v1	Xanthomonas oryzae pv. oryzae		PXO563					GCF_001746715.1-RS_2024_05_05	Complete Genome	2016-09-26		1							PacBio	SAMN04306151	95.55	0.31
