Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCF_001401605.1	Xff_LMG826	Xanthomonas citri pv. fuscans		LMG 826					GCF_001401605.1-RS_2024_05_05	Contig	2015-10-21	JPYF01								Illumina HiSeq	95.09	3.12
GCA_003957475.1	ASM395747v1	Xanthomonas citri pv. eucalyptorum		LPF 602					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-12-20	RWJW01	62							Illumina NovaSeq	99.55	0.78
GCF_003957475.1	ASM395747v1	Xanthomonas citri pv. eucalyptorum		LPF 602					GCF_003957475.1-RS_2024_05_06	Scaffold	2018-12-20	RWJW01	62							Illumina NovaSeq	99.55	0.78
GCA_020011255.1	ASM2001125v1	Xanthomonas citri pv. sesbaniae		LMG867					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-16	LOKL01								Illumina MiSeq	95.53	0.68
GCF_020011255.1	ASM2001125v1	Xanthomonas citri pv. sesbaniae		LMG867					GCF_020011255.1-RS_2024_05_12	Contig	2021-09-16	LOKL01								Illumina MiSeq	95.53	0.68
GCA_000263335.1	XALMG941	Xanthomonas citri pv. mangiferaeindicae LMG 941		LMG 941					Annotation submitted by Institute of Microbial Technology (CSIR)	Contig	2012-03-16	CAHO01									96.81	0.14
GCF_000263335.1	XALMG941	Xanthomonas citri pv. mangiferaeindicae LMG 941		LMG 941					GCF_000263335.1-RS_2024_05_05	Contig	2012-03-16	CAHO01									96.81	0.14
GCA_000285775.1	ASM28577v1	Xanthomonas citri pv. punicae str. LMG 859		LMG 859					Annotation submitted by Institute of Microbial Technology (CSIR), Chandigarh, India	Contig	2012-01-25	CAGJ01									98.82	0.37
GCF_000285775.1	ASM28577v1	Xanthomonas citri pv. punicae str. LMG 859		LMG 859					GCF_000285775.1-RS_2024_05_05	Contig	2012-01-25	CAGJ01									98.82	0.37
GCA_020011215.1	ASM2001121v1	Xanthomonas citri pv. thirumalacharii		LMG872					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-16	LOKK01								Illumina MiSeq	97.57	0.54
GCF_020011215.1	ASM2001121v1	Xanthomonas citri pv. thirumalacharii		LMG872					GCF_020011215.1-RS_2024_05_06	Contig	2021-09-16	LOKK01								Illumina MiSeq	97.57	0.54
GCA_014694055.1	ASM1469405v1	Xanthomonas citri pv. citri		LL098-02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-22	JAABGZ01								Illumina; Nanopore MinIon	98.59	0.45
GCF_014694055.1	ASM1469405v1	Xanthomonas citri pv. citri		LL098-02					GCF_014694055.1-RS_2024_05_06	Contig	2020-09-22	JAABGZ01								Illumina; Nanopore MinIon	98.59	0.45
GCA_014694185.1	ASM1469418v1	Xanthomonas citri pv. citri		LM089-20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-22	JAABDL01								Illumina; Nanopore MinIon	98.51	0.37
GCF_014694185.1	ASM1469418v1	Xanthomonas citri pv. citri		LM089-20					GCF_014694185.1-RS_2024_05_06	Contig	2020-09-22	JAABDL01								Illumina; Nanopore MinIon	98.51	0.37
GCA_014694075.1	ASM1469407v1	Xanthomonas citri pv. citri		LL115-09					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-22	JAABGR01								Illumina; Nanopore MinIon	97.99	0.45
GCF_014694075.1	ASM1469407v1	Xanthomonas citri pv. citri		LL115-09					GCF_014694075.1-RS_2024_05_06	Contig	2020-09-22	JAABGR01								Illumina; Nanopore MinIon	97.99	0.45
GCA_014694175.1	ASM1469417v1	Xanthomonas citri pv. citri		LL174-05					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-22	JAABFG01								Illumina; Nanopore MinIon	97.61	0.45
GCF_014694175.1	ASM1469417v1	Xanthomonas citri pv. citri		LL174-05					GCF_014694175.1-RS_2024_05_06	Contig	2020-09-22	JAABFG01								Illumina; Nanopore MinIon	97.61	0.45
GCA_000950845.1	ASM95084v1	Xanthomonas citri pv. citri		AS270						Contig	2015-03-11	JPLN01								Illumina; 454	98.4	0.5
GCF_000950845.1	ASM95084v1	Xanthomonas citri pv. citri		AS270					GCF_000950845.1-RS_2024_05_05	Contig	2015-03-11	JPLN01								Illumina; 454	98.4	0.5
GCA_000950875.1	AS8_assembly	Xanthomonas citri pv. citri		AS8						Contig	2015-03-11	JPLO01								Illumina	98.31	0.5
GCF_000950875.1	AS8_assembly	Xanthomonas citri pv. citri		AS8					GCF_000950875.1-RS_2024_05_05	Contig	2015-03-11	JPLO01								Illumina	98.31	0.5
GCA_000950855.1	AS9_assembly	Xanthomonas citri pv. citri		AS9						Contig	2015-03-11	JPLP01								Illumina	98.44	0.5
GCF_000950855.1	AS9_assembly	Xanthomonas citri pv. citri		AS9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2015-03-11	JPLP01								Illumina	98.44	0.5
GCA_002742455.1	ASM274245v1	Xanthomonas citri pv. citri		NIGEB-88					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-11-02	LJGA01	18							Illumina HiSeq	98.56	0.87
GCF_002742455.1	ASM274245v1	Xanthomonas citri pv. citri		NIGEB-88					GCF_002742455.1-RS_2024_05_05	Scaffold	2017-11-02	LJGA01	18							Illumina HiSeq	98.56	0.87
GCA_963669765.1	PD 6313_XC 205	Xanthomonas citri pv. citri					PD 6313, XC 205			Contig	2023-12-10	CAVLID01								Illumina NovaSeq	98.59	0.5
GCF_963669765.1	PD 6313_XC 205	Xanthomonas citri pv. citri					PD 6313, XC 205		GCF_963669765.1-RS_2024_05_12	Contig	2023-12-10	CAVLID01								Illumina NovaSeq	98.59	0.5
GCA_003122545.1	ASM312254v1	Xanthomonas citri pv. citri		FDC 1662					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-14	LAUN01	103							Illumina HiSeq	98.61	0.37
GCF_003122545.1	ASM312254v1	Xanthomonas citri pv. citri		FDC 1662					GCF_003122545.1-RS_2024_05_06	Scaffold	2018-05-14	LAUN01	103							Illumina HiSeq	98.61	0.37
GCA_963669895.1	PD 3895	Xanthomonas citri pv. citri					PD 3895			Contig	2023-12-07	CAVLIR01								Illumina NovaSeq	98.81	0.57
GCF_963669895.1	PD 3895	Xanthomonas citri pv. citri					PD 3895		GCF_963669895.1-RS_2024_05_12	Contig	2023-12-07	CAVLIR01								Illumina NovaSeq	98.81	0.57
GCA_963669545.1	PD 7450	Xanthomonas citri pv. citri					PD 7450			Contig	2023-12-07	CAVLHU01								Illumina NovaSeq	98.94	0.37
GCF_963669545.1	PD 7450	Xanthomonas citri pv. citri					PD 7450		GCF_963669545.1-RS_2024_05_12	Contig	2023-12-07	CAVLHU01								Illumina NovaSeq	98.94	0.37
GCA_963669715.1	PD 7366	Xanthomonas citri pv. citri					PD 7366			Contig	2023-12-07	CAVLIH01								Illumina NovaSeq	98.94	0.37
GCF_963669715.1	PD 7366	Xanthomonas citri pv. citri					PD 7366		GCF_963669715.1-RS_2024_05_12	Contig	2023-12-07	CAVLIH01								Illumina NovaSeq	98.94	0.37
GCA_963669965.1	PD 7365	Xanthomonas citri pv. citri					PD 7365			Contig	2023-12-07	CAVLIY01								Illumina NovaSeq	98.94	0.37
GCF_963669965.1	PD 7365	Xanthomonas citri pv. citri					PD 7365		GCF_963669965.1-RS_2024_05_06	Contig	2023-12-07	CAVLIY01								Illumina NovaSeq	98.94	0.37
GCA_963669525.1	PD 7280	Xanthomonas citri pv. citri					PD 7280			Contig	2023-12-07	CAVLHM01								Illumina NovaSeq	98.94	0.37
GCF_963669525.1	PD 7280	Xanthomonas citri pv. citri					PD 7280		GCF_963669525.1-RS_2024_05_12	Contig	2023-12-07	CAVLHM01								Illumina NovaSeq	98.94	0.37
GCA_963669705.1	PD 7215	Xanthomonas citri pv. citri					PD 7215			Contig	2023-12-10	CAVLIB01								Illumina NovaSeq	98.64	0.37
GCF_963669705.1	PD 7215	Xanthomonas citri pv. citri					PD 7215		GCF_963669705.1-RS_2024_05_06	Contig	2023-12-10	CAVLIB01								Illumina NovaSeq	98.64	0.37
GCA_040815755.1	ASM4081575v1	Xanthomonas citri pv. citri		JW160						Scaffold	2024-07-22	JAWJUX01	2							Illumina HiSeq	98.69	0.37
GCF_040815755.1	ASM4081575v1	Xanthomonas citri pv. citri		JW160					GCF_040815755.1-RS_2024_07_24	Scaffold	2024-07-22	JAWJUX01	2							Illumina HiSeq	98.69	0.37
GCA_963669725.1	PD 4106	Xanthomonas citri pv. citri					PD 4106			Contig	2023-12-07	CAVLII01								Illumina NovaSeq	98.86	0.37
GCF_963669725.1	PD 4106	Xanthomonas citri pv. citri					PD 4106		GCF_963669725.1-RS_2024_05_12	Contig	2023-12-07	CAVLII01								Illumina NovaSeq	98.86	0.37
GCA_963669915.1	PD 4399	Xanthomonas citri pv. citri					PD 4399			Contig	2023-12-07	CAVLJE01								Illumina NovaSeq	98.86	0.37
GCF_963669915.1	PD 4399	Xanthomonas citri pv. citri					PD 4399		GCF_963669915.1-RS_2024_05_12	Contig	2023-12-07	CAVLJE01								Illumina NovaSeq	98.86	0.37
GCA_040202855.1	ASM4020285v1	Xanthomonas citri pv. citri		WHRI 10264					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-06-16	JBEGEC01	54							Illumina NovaSeq	98.95	0.37
GCF_040202855.1	ASM4020285v1	Xanthomonas citri pv. citri		WHRI 10264					GCF_040202855.1-RS_2024_06_17	Scaffold	2024-06-16	JBEGEC01	54							Illumina NovaSeq	98.95	0.37
GCA_963669955.1	PD 8358	Xanthomonas citri pv. citri					PD 8358			Contig	2023-12-10	CAVLJB01								Illumina NovaSeq	98.94	0.37
GCF_963669955.1	PD 8358	Xanthomonas citri pv. citri					PD 8358		GCF_963669955.1-RS_2024_05_12	Contig	2023-12-10	CAVLJB01								Illumina NovaSeq	98.94	0.37
GCA_963669885.1	PD 3896	Xanthomonas citri pv. citri					PD 3896			Contig	2023-12-07	CAVLIL01								Illumina NovaSeq	98.89	0.37
GCF_963669885.1	PD 3896	Xanthomonas citri pv. citri					PD 3896		GCF_963669885.1-RS_2024_05_12	Contig	2023-12-07	CAVLIL01								Illumina NovaSeq	98.89	0.37
GCA_963669845.1	LMG 683	Xanthomonas citri pv. citri					LMG 683			Contig	2023-12-10	CAVLIT01								Illumina NovaSeq	98.94	0.44
GCF_963669845.1	LMG 683	Xanthomonas citri pv. citri					LMG 683		GCF_963669845.1-RS_2024_05_12	Contig	2023-12-10	CAVLIT01								Illumina NovaSeq	98.94	0.44
GCA_963669745.1	PD 4774	Xanthomonas citri pv. citri					PD 4774			Contig	2023-12-07	CAVLIK01								Illumina NovaSeq	98.42	0.37
GCF_963669745.1	PD 4774	Xanthomonas citri pv. citri					PD 4774		GCF_963669745.1-RS_2024_05_06	Contig	2023-12-07	CAVLIK01								Illumina NovaSeq	98.42	0.37
GCA_963669515.1	PD 7391	Xanthomonas citri pv. citri					PD 7391			Contig	2023-12-10	CAVLHQ01								Illumina NovaSeq	98.94	0.37
GCF_963669515.1	PD 7391	Xanthomonas citri pv. citri					PD 7391		GCF_963669515.1-RS_2024_05_12	Contig	2023-12-10	CAVLHQ01								Illumina NovaSeq	98.94	0.37
GCA_963669565.1	PD 7301	Xanthomonas citri pv. citri					PD 7301			Contig	2023-12-10	CAVLHP01								Illumina NovaSeq	98.94	0.37
GCF_963669565.1	PD 7301	Xanthomonas citri pv. citri					PD 7301		GCF_963669565.1-RS_2024_05_12	Contig	2023-12-10	CAVLHP01								Illumina NovaSeq	98.94	0.37
GCA_963669905.1	PD 7641	Xanthomonas citri pv. citri					PD 7641			Contig	2023-12-07	CAVLIZ01								Illumina NovaSeq	99.23	0.37
GCF_963669905.1	PD 7641	Xanthomonas citri pv. citri					PD 7641		GCF_963669905.1-RS_2024_05_12	Contig	2023-12-07	CAVLIZ01								Illumina NovaSeq	99.23	0.37
GCA_963669735.1	PD 5812	Xanthomonas citri pv. citri					PD 5812			Contig	2023-12-07	CAVLIO01								Illumina NovaSeq	98.98	0.37
GCF_963669735.1	PD 5812	Xanthomonas citri pv. citri					PD 5812		GCF_963669735.1-RS_2024_05_12	Contig	2023-12-07	CAVLIO01								Illumina NovaSeq	98.98	0.37
GCA_963669595.1	Kr 4819	Xanthomonas citri pv. citri					Kr 4819			Contig	2023-12-07	CAVLHX01								Illumina NovaSeq	98.94	0.37
GCF_963669595.1	Kr 4819	Xanthomonas citri pv. citri					Kr 4819		GCF_963669595.1-RS_2024_05_12	Contig	2023-12-07	CAVLHX01								Illumina NovaSeq	98.94	0.37
GCA_963669875.1	NCPPB 409	Xanthomonas citri pv. citri					NCPPB 409			Contig	2023-12-07	CAVLIP01								Illumina NovaSeq	98.94	0.44
GCF_963669875.1	NCPPB 409	Xanthomonas citri pv. citri					NCPPB 409		GCF_963669875.1-RS_2024_05_12	Contig	2023-12-07	CAVLIP01								Illumina NovaSeq	98.94	0.44
GCA_963669585.1	PD 7479	Xanthomonas citri pv. citri					PD 7479			Contig	2023-12-07	CAVLHY01								Illumina NovaSeq	98.94	0.37
GCF_963669585.1	PD 7479	Xanthomonas citri pv. citri					PD 7479		GCF_963669585.1-RS_2024_05_12	Contig	2023-12-07	CAVLHY01								Illumina NovaSeq	98.94	0.37
GCA_963669555.1	PD 7435	Xanthomonas citri pv. citri					PD 7435			Contig	2023-12-07	CAVLHT01								Illumina NovaSeq	98.94	0.37
GCF_963669555.1	PD 7435	Xanthomonas citri pv. citri					PD 7435		GCF_963669555.1-RS_2024_05_06	Contig	2023-12-07	CAVLHT01								Illumina NovaSeq	98.94	0.37
GCA_963669625.1	PD 3793	Xanthomonas citri pv. citri					PD 3793			Contig	2023-12-10	CAVLHS01								Illumina NovaSeq	98.94	0.37
GCF_963669625.1	PD 3793	Xanthomonas citri pv. citri					PD 3793		GCF_963669625.1-RS_2024_05_06	Contig	2023-12-10	CAVLHS01								Illumina NovaSeq	98.94	0.37
GCA_963669695.1	PD 3791	Xanthomonas citri pv. citri					PD 3791			Contig	2023-12-07	CAVLHZ01								Illumina NovaSeq	98.94	0.37
GCF_963669695.1	PD 3791	Xanthomonas citri pv. citri					PD 3791		GCF_963669695.1-RS_2024_05_12	Contig	2023-12-07	CAVLHZ01								Illumina NovaSeq	98.94	0.37
GCA_963669535.1	LMG 9176_XC59	Xanthomonas citri pv. citri					LMG 9176, XC59			Contig	2023-12-07	CAVLIC01								Illumina NovaSeq	98.61	0.37
GCF_963669535.1	LMG 9176_XC59	Xanthomonas citri pv. citri					LMG 9176, XC59		GCF_963669535.1-RS_2024_05_12	Contig	2023-12-07	CAVLIC01								Illumina NovaSeq	98.61	0.37
GCA_963669935.1	PD 7392	Xanthomonas citri pv. citri					PD 7392			Contig	2023-12-10	CAVLJC01								Illumina NovaSeq	98.94	0.37
GCF_963669935.1	PD 7392	Xanthomonas citri pv. citri					PD 7392		GCF_963669935.1-RS_2024_05_12	Contig	2023-12-10	CAVLJC01								Illumina NovaSeq	98.94	0.37
GCA_963669665.1	PD 7340	Xanthomonas citri pv. citri					PD 7340			Contig	2023-12-10	CAVLIA01								Illumina NovaSeq	98.86	0.37
GCF_963669665.1	PD 7340	Xanthomonas citri pv. citri					PD 7340		GCF_963669665.1-RS_2024_05_12	Contig	2023-12-10	CAVLIA01								Illumina NovaSeq	98.86	0.37
GCA_963669805.1	PD 6982	Xanthomonas citri pv. citri					PD 6982			Contig	2023-12-10	CAVLIG01								Illumina NovaSeq	98.86	0.37
GCF_963669805.1	PD 6982	Xanthomonas citri pv. citri					PD 6982		GCF_963669805.1-RS_2024_05_12	Contig	2023-12-10	CAVLIG01								Illumina NovaSeq	98.86	0.37
GCA_963669825.1	PD 8277	Xanthomonas citri pv. citri					PD 8277			Contig	2023-12-07	CAVLIJ01								Illumina NovaSeq	98.61	0.37
GCF_963669825.1	PD 8277	Xanthomonas citri pv. citri					PD 8277		GCF_963669825.1-RS_2024_05_12	Contig	2023-12-07	CAVLIJ01								Illumina NovaSeq	98.61	0.37
GCA_963669795.1	PD 5427	Xanthomonas citri pv. citri					PD 5427			Contig	2023-12-07	CAVLIS01								Illumina NovaSeq	98.86	0.37
GCF_963669795.1	PD 5427	Xanthomonas citri pv. citri					PD 5427		GCF_963669795.1-RS_2024_05_06	Contig	2023-12-07	CAVLIS01								Illumina NovaSeq	98.86	0.37
GCA_963669925.1	PD 8327	Xanthomonas citri pv. citri					PD 8327			Contig	2023-12-07	CAVLJD01								Illumina NovaSeq	98.61	0.37
GCF_963669925.1	PD 8327	Xanthomonas citri pv. citri					PD 8327		GCF_963669925.1-RS_2024_05_12	Contig	2023-12-07	CAVLJD01								Illumina NovaSeq	98.61	0.37
GCA_963669835.1	PD 6311_XC 62	Xanthomonas citri pv. citri					PD 6311, XC 62			Contig	2023-12-10	CAVLIX01								Illumina NovaSeq	98.56	0.58
GCF_963669835.1	PD 6311_XC 62	Xanthomonas citri pv. citri					PD 6311, XC 62		GCF_963669835.1-RS_2024_05_12	Contig	2023-12-10	CAVLIX01								Illumina NovaSeq	98.56	0.58
GCA_963669815.1	PD 8351	Xanthomonas citri pv. citri					PD 8351			Contig	2023-12-10	CAVLIQ01								Illumina NovaSeq	98.94	0.37
GCF_963669815.1	PD 8351	Xanthomonas citri pv. citri					PD 8351		GCF_963669815.1-RS_2024_05_06	Contig	2023-12-10	CAVLIQ01								Illumina NovaSeq	98.94	0.37
GCA_963669785.1	PD 5839	Xanthomonas citri pv. citri					PD 5839			Contig	2023-12-07	CAVLIM01								Illumina NovaSeq	98.94	0.37
GCF_963669785.1	PD 5839	Xanthomonas citri pv. citri					PD 5839		GCF_963669785.1-RS_2024_05_06	Contig	2023-12-07	CAVLIM01								Illumina NovaSeq	98.94	0.37
GCA_963669485.1	PD 8348	Xanthomonas citri pv. citri					PD 8348			Contig	2023-12-10	CAVLHR01								Illumina NovaSeq	98.61	0.37
GCF_963669485.1	PD 8348	Xanthomonas citri pv. citri					PD 8348		GCF_963669485.1-RS_2024_05_12	Contig	2023-12-10	CAVLHR01								Illumina NovaSeq	98.61	0.37
GCA_963669945.1	PD 8002	Xanthomonas citri pv. citri					PD 8002			Contig	2023-12-07	CAVLJA01								Illumina NovaSeq	98.61	0.37
GCF_963669945.1	PD 8002	Xanthomonas citri pv. citri					PD 8002		GCF_963669945.1-RS_2024_05_06	Contig	2023-12-07	CAVLJA01								Illumina NovaSeq	98.61	0.37
GCA_963669505.1	PD 8332	Xanthomonas citri pv. citri					PD 8332			Contig	2023-12-10	CAVLHO01								Illumina NovaSeq	98.94	0.37
GCF_963669505.1	PD 8332	Xanthomonas citri pv. citri					PD 8332		GCF_963669505.1-RS_2024_05_12	Contig	2023-12-10	CAVLHO01								Illumina NovaSeq	98.94	0.37
GCA_003122565.1	ASM312256v1	Xanthomonas citri pv. citri		FDC 828					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-14	LAUP01	121							Illumina HiSeq	98.44	0.45
GCF_003122565.1	ASM312256v1	Xanthomonas citri pv. citri		FDC 828					GCF_003122565.1-RS_2024_05_06	Scaffold	2018-05-14	LAUP01	121							Illumina HiSeq	98.44	0.45
GCA_003122625.1	ASM312262v1	Xanthomonas citri pv. citri		FDC 654					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-14	LAUF01	114							Illumina HiSeq	98.23	0.37
GCF_003122625.1	ASM312262v1	Xanthomonas citri pv. citri		FDC 654					GCF_003122625.1-RS_2024_05_06	Scaffold	2018-05-14	LAUF01	114							Illumina HiSeq	98.23	0.37
GCA_040815775.1	ASM4081577v1	Xanthomonas citri pv. citri		C40						Scaffold	2024-07-22	JAWDCW01	4							Illumina HiSeq	98.79	0.45
GCF_040815775.1	ASM4081577v1	Xanthomonas citri pv. citri		C40					GCF_040815775.1-RS_2024_07_24	Scaffold	2024-07-22	JAWDCW01	4							Illumina HiSeq	98.79	0.45
GCA_003122605.1	ASM312260v1	Xanthomonas citri pv. citri		FDC 628					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-14	LAUE01	101							Illumina HiSeq	98.94	0.44
GCF_003122605.1	ASM312260v1	Xanthomonas citri pv. citri		FDC 628					GCF_003122605.1-RS_2024_05_06	Scaffold	2018-05-14	LAUE01	101							Illumina HiSeq	98.94	0.44
GCA_001956275.1	ASM195627v1	Xanthomonas citri pv. citri		NIGEB-386					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-01-19	JRON01	183							Illumina HiSeq	98.38	1.22
GCF_001956275.1	ASM195627v1	Xanthomonas citri pv. citri		NIGEB-386					GCF_001956275.1-RS_2024_05_05	Contig	2017-01-19	JRON01								Illumina HiSeq	98.38	1.22
GCA_000825245.2	XACB100	Xanthomonas citri pv. citri		LB100-1					Annotation submitted by CIRAD	Scaffold	2014-11-10	CDAV01	68								99.1	0.51
GCF_000825245.2	XACB100	Xanthomonas citri pv. citri		LB100-1					GCF_000825245.2-RS_2024_05_05	Scaffold	2014-11-10	CDAV01	68								99.1	0.51
GCA_000825185.2	XACJJ10	Xanthomonas citri pv. citri		JJ10-1					Annotation submitted by CIRAD	Scaffold	2014-11-04	CDDV01	68								98.19	0.45
GCF_000825185.2	XACJJ10	Xanthomonas citri pv. citri		JJ10-1					GCF_000825185.2-RS_2024_05_05	Scaffold	2014-11-04	CDDV01	68								98.19	0.45
GCA_000829945.2	XACJM35	Xanthomonas citri pv. citri		JM35-2					Annotation submitted by CIRAD	Scaffold	2015-01-13	CDMS01	103								98.64	0.52
GCF_000829945.2	XACJM35	Xanthomonas citri pv. citri		JM35-2					GCF_000829945.2-RS_2024_05_05	Scaffold	2015-01-13	CDMS01	103								98.64	0.52
GCA_000825325.2	XACS581	Xanthomonas citri pv. citri		JS581					Annotation submitted by CIRAD	Scaffold	2014-11-10	CDAW01	132								98.14	0.5
GCF_000825325.2	XACS581	Xanthomonas citri pv. citri		JS581					GCF_000825325.2-RS_2024_05_05	Scaffold	2014-11-10	CDAW01	132								98.14	0.5
GCA_000825305.2	XACG117	Xanthomonas citri pv. citri		LG117					Annotation submitted by CIRAD	Scaffold	2014-11-10	CDAX01	96								98.89	0.34
GCF_000825305.2	XACG117	Xanthomonas citri pv. citri		LG117					GCF_000825305.2-RS_2024_08_07	Scaffold	2014-11-10	CDAX01	96								98.89	0.34
GCA_000825225.2	XAC4311	Xanthomonas citri pv. citri		JK143-11					Annotation submitted by CIRAD	Scaffold	2015-01-13	CDMO01	64								98.75	0.37
GCF_000825225.2	XAC4311	Xanthomonas citri pv. citri		JK143-11					GCF_000825225.2-RS_2024_05_05	Scaffold	2015-01-13	CDMO01	64								98.75	0.37
GCA_000825385.2	XAC3612	Xanthomonas citri pv. citri		NCPPB 3612					Annotation submitted by CIRAD	Scaffold	2014-11-04	CDAQ01	172								98.46	0.56
GCF_000825385.2	XAC3612	Xanthomonas citri pv. citri		NCPPB 3612					GCF_000825385.2-RS_2024_05_05	Scaffold	2014-11-04	CDAQ01	172								98.46	0.56
GCA_000825285.2	XACG115	Xanthomonas citri pv. citri		LG115					Annotation submitted by CIRAD	Scaffold	2014-11-10	CDAY01	88								96.66	0.52
GCF_000825285.2	XACG115	Xanthomonas citri pv. citri		LG115					GCF_000825285.2-RS_2024_05_05	Scaffold	2014-11-10	CDAY01	88								96.66	0.52
GCA_000825365.2	XACLH37	Xanthomonas citri pv. citri		LH37-1					Annotation submitted by CIRAD	Scaffold	2014-11-10	CDAS01	160								98.59	0.58
GCF_000825365.2	XACLH37	Xanthomonas citri pv. citri		LH37-1					GCF_000825365.2-RS_2024_05_05	Scaffold	2014-11-10	CDAS01	160								98.59	0.58
GCA_000825265.2	XACJK4	Xanthomonas citri pv. citri		JK4-1					Annotation submitted by CIRAD	Scaffold	2015-01-13	CDMR01	56								98.91	0.37
GCF_000825265.2	XACJK4	Xanthomonas citri pv. citri		JK4-1					GCF_000825265.2-RS_2024_05_05	Scaffold	2015-01-13	CDMR01	56								98.91	0.37
GCA_000825205.2	XACLG98	Xanthomonas citri pv. citri		LG98					Annotation submitted by CIRAD	Scaffold	2014-11-10	CDBA01	54								98.51	0.39
GCF_000825205.2	XACLG98	Xanthomonas citri pv. citri		LG98					GCF_000825205.2-RS_2024_05_05	Scaffold	2014-11-10	CDBA01	54								98.51	0.39
GCA_000825345.2	XAC3607	Xanthomonas citri pv. citri		NCPPB 3607					Annotation submitted by CIRAD	Scaffold	2014-11-10	CDAT01	93								98.03	0.81
GCF_000825345.2	XAC3607	Xanthomonas citri pv. citri		NCPPB 3607					GCF_000825345.2-RS_2024_05_05	Scaffold	2014-11-10	CDAT01	93								98.03	0.81
GCA_000825405.2	XACLE3	Xanthomonas citri pv. citri		LE3-1					Annotation submitted by CIRAD	Scaffold	2014-11-04	CDAI01	100								97.85	2.25
GCF_000825405.2	XACLE3	Xanthomonas citri pv. citri		LE3-1					GCF_000825405.2-RS_2024_05_05	Scaffold	2014-11-04	CDAI01	100								97.85	2.25
GCA_000825425.2	XACJK48	Xanthomonas citri pv. citri		JK48					Annotation submitted by CIRAD	Scaffold	2014-11-04	CDAJ01	92								97.17	1.21
GCF_000825425.2	XACJK48	Xanthomonas citri pv. citri		JK48					GCF_000825425.2-RS_2024_05_05	Scaffold	2014-11-04	CDAJ01	92								97.17	1.21
GCA_000825485.2	XACG102	Xanthomonas citri pv. citri		LG102					Annotation submitted by CIRAD	Scaffold	2014-11-04	CDAN01	120								97.47	2.37
GCF_000825485.2	XACG102	Xanthomonas citri pv. citri		LG102					GCF_000825485.2-RS_2024_05_05	Scaffold	2014-11-04	CDAN01	120								97.47	2.37
GCA_000825465.2	XACB302	Xanthomonas citri pv. citri		LB302					Annotation submitted by CIRAD	Scaffold	2014-11-04	CDAU01	114								97.4	1.88
GCF_000825465.2	XACB302	Xanthomonas citri pv. citri		LB302					GCF_000825465.2-RS_2024_05_23	Scaffold	2014-11-04	CDAU01	114								97.4	1.88
GCA_000825445.2	XACLG97	Xanthomonas citri pv. citri		LG97					Annotation submitted by CIRAD	Scaffold	2014-11-04	CDAK01	97								98.11	1.27
GCF_000825445.2	XACLG97	Xanthomonas citri pv. citri		LG97					GCF_000825445.2-RS_2024_08_07	Scaffold	2014-11-04	CDAK01	97								98.11	1.27
GCA_000825525.2	XAC439	Xanthomonas citri pv. citri		JK143-9					Annotation submitted by CIRAD	Scaffold	2015-01-13	CDMQ01	93								96.69	2.07
GCF_000825525.2	XAC439	Xanthomonas citri pv. citri		JK143-9					GCF_000825525.2-RS_2024_05_05	Scaffold	2015-01-13	CDMQ01	93								96.69	2.07
GCA_000825545.2	XACE116	Xanthomonas citri pv. citri		LE116-1					Annotation submitted by CIRAD	Scaffold	2014-11-19	CDHD01	173								97.25	1.77
GCF_000825545.2	XACE116	Xanthomonas citri pv. citri		LE116-1					GCF_000825545.2-RS_2024_05_05	Scaffold	2014-11-19	CDHD01	173								97.25	1.77
GCA_000825565.2	XACE116	Xanthomonas citri pv. citri		NCPPB 3615					Annotation submitted by CIRAD	Scaffold	2014-11-19	CDHC01	173								97.25	1.77
